trial_num	task	run	parent_session_id	child_session_id	brief_path
1	T4	1	20260421_030350_dd4c5b	20260421_030359_4390bc	/tmp/r7.8-judge-briefs/armKP/armKP-T4-run1-brief.txt
2	T5	1	20260421_030434_9d0df9	20260421_030438_a82e3d	/tmp/r7.8-judge-briefs/armKP/armKP-T5-run1-brief.txt
3	T6	1	20260421_030547_a4ecad	20260421_030551_85f6e5	/tmp/r7.8-judge-briefs/armKP/armKP-T6-run1-brief.txt
4	T10	1	20260421_030751_fee309	20260421_030756_68a38a	/tmp/r7.8-judge-briefs/armKP/armKP-T10-run1-brief.txt
5	T4	2	20260421_031041_418596	20260421_031045_ff7f84	/tmp/r7.8-judge-briefs/armKP/armKP-T4-run2-brief.txt
6	T5	2	20260421_031306_1db8bb	20260421_031310_8ee90f	/tmp/r7.8-judge-briefs/armKP/armKP-T5-run2-brief.txt
7	T6	2	20260421_032913_862a0b	20260421_032918_0b82d7	/tmp/r7.8-judge-briefs/armKP/armKP-T6-run2-brief.txt
8	T10	2	20260421_033038_b33ebe	20260421_033043_df2207	/tmp/r7.8-judge-briefs/armKP/armKP-T10-run2-brief.txt
9	T4	3	20260421_033148_1f9191	20260421_033152_aabeba	/tmp/r7.8-judge-briefs/armKP/armKP-T4-run3-brief.txt
10	T5	3	20260421_033228_905b12	20260421_033232_865d4a	/tmp/r7.8-judge-briefs/armKP/armKP-T5-run3-brief.txt
11	T6	3	20260421_033600_52da6c	20260421_033605_30c363	/tmp/r7.8-judge-briefs/armKP/armKP-T6-run3-brief.txt
12	T10	3	20260421_033741_21c5c6	20260421_033746_1e7733	/tmp/r7.8-judge-briefs/armKP/armKP-T10-run3-brief.txt
13	T4	4	20260421_033926_596caf	20260421_033930_be5530	/tmp/r7.8-judge-briefs/armKP/armKP-T4-run4-brief.txt
14	T5	4	20260421_034029_bbbf90	20260421_034034_54b108	/tmp/r7.8-judge-briefs/armKP/armKP-T5-run4-brief.txt
15	T6	4	20260421_034144_a0efbe	20260421_034149_790236	/tmp/r7.8-judge-briefs/armKP/armKP-T6-run4-brief.txt
16	T10	4	20260421_035722_801aae	20260421_035731_0f73ba	/tmp/r7.8-judge-briefs/armKP/armKP-T10-run4-brief.txt
17	T4	5	20260421_040116_bb008d	20260421_040120_454694	/tmp/r7.8-judge-briefs/armKP/armKP-T4-run5-brief.txt
18	T5	5	20260421_040149_6ef9b4	20260421_040153_d22c4f	/tmp/r7.8-judge-briefs/armKP/armKP-T5-run5-brief.txt
19	T6	5	20260421_040329_15f444	20260421_040334_47e2fd	/tmp/r7.8-judge-briefs/armKP/armKP-T6-run5-brief.txt
20	T10	5	20260421_040654_c3286c	20260421_040700_a4cdac	/tmp/r7.8-judge-briefs/armKP/armKP-T10-run5-brief.txt
